appid,discount_start,playtime_filter,positive_count_before,negative_count_before,positive_count_during,negative_count_during,before_days,during_days,response_rate_positive,response_rate_negative,positive_rate_before,positive_rate_during,positive_rate_delta,sentiment_group
218620,2026-02-28,10h,915,75,404,28,30,14,-0.053864,-0.2,0.924242,0.935185,0.010943,up
218620,2026-03-19,10h,847,69,195,12,30,7,-0.013324,-0.254658,0.924672,0.942029,0.017356,up
892970,2025-12-18,10h,5131,225,1508,170,30,18,-0.510167,0.259259,0.957991,0.898689,-0.059302,down
892970,2026-01-20,10h,2574,278,1399,174,30,14,0.164669,0.341213,0.902525,0.889383,-0.013141,down
892970,2026-03-05,10h,2500,367,1865,196,30,21,0.065714,-0.237057,0.871992,0.904901,0.032909,up
322330,2025-12-18,10h,6157,154,1463,102,30,18,-0.603974,0.103896,0.975598,0.934824,-0.040774,down
322330,2026-02-12,10h,1559,165,477,35,30,7,0.31128,-0.090909,0.904292,0.931641,0.027348,up
322330,2026-03-19,10h,1629,150,451,27,30,7,0.18653,-0.228571,0.915683,0.943515,0.027832,up
377160,2025-12-18,10h,1609,1982,1374,719,30,18,0.423244,-0.395392,0.448065,0.656474,0.208409,up
377160,2026-01-28,10h,2623,934,981,214,30,9,0.246664,-0.23626,0.737419,0.820921,0.083501,up
377160,2026-03-19,10h,2040,302,355,48,30,7,-0.254202,-0.318827,0.87105,0.880893,0.009843,up
1623730,2025-12-04,10h,5838,160,3487,182,30,32,-0.440037,0.066406,0.973324,0.950395,-0.022929,down
1623730,2026-02-12,10h,2749,168,1192,50,30,12,0.084031,-0.255952,0.942407,0.959742,0.017336,up
4000,2026-03-19,10h,6371,163,1362,28,30,7,-0.083795,-0.263804,0.975054,0.979856,0.004803,neutral
227300,2026-02-19,10h,6525,286,1851,98,30,7,0.215764,0.468531,0.958009,0.949718,-0.008291,down
227300,2026-03-19,10h,6365,307,1414,37,30,7,-0.047918,-0.483481,0.953987,0.9745,0.020514,up
242760,2026-03-19,10h,2043,71,798,31,30,7,0.674009,0.871227,0.966414,0.962606,-0.003809,neutral
251570,2025-08-25,10h,2114,2112,826,233,30,14,-0.162725,-0.763596,0.500237,0.779981,0.279744,up
251570,2025-09-29,10h,1581,380,414,74,30,7,0.122255,-0.165414,0.806221,0.848361,0.042139,up
251570,2025-10-27,10h,1547,287,337,45,30,7,-0.066396,-0.328024,0.843511,0.882199,0.038688,up
251570,2025-12-18,10h,3404,278,1270,239,30,18,-0.378183,0.432854,0.924498,0.841617,-0.082881,down
251570,2026-01-28,10h,1891,303,515,95,30,10,-0.182972,-0.059406,0.861896,0.844262,-0.017634,down
251570,2026-03-19,10h,1291,209,343,70,30,7,0.138652,0.435407,0.860667,0.830508,-0.030158,down
960090,2025-12-18,10h,4449,73,1466,48,30,18,-0.450813,0.09589,0.983857,0.968296,-0.015561,down
960090,2026-03-09,10h,2411,83,575,24,30,7,0.022101,0.239243,0.96672,0.959933,-0.006787,down
960090,2026-03-19,10h,2197,86,515,15,30,7,0.004617,-0.252492,0.96233,0.971698,0.009368,up
289070,2025-08-04,10h,1712,503,865,93,30,14,0.082694,-0.603806,0.772912,0.902923,0.130011,up
289070,2025-09-18,10h,1512,144,891,85,30,18,-0.017857,-0.016204,0.913043,0.91291,-0.000134,neutral
289070,2025-11-03,10h,1320,125,720,66,30,14,0.168831,0.131429,0.913495,0.916031,0.002536,neutral
289070,2025-12-18,10h,1408,113,1047,104,30,18,0.239347,0.533923,0.925707,0.909644,-0.016063,down
289070,2026-02-05,10h,1344,135,720,53,30,14,0.147959,-0.15873,0.908722,0.931436,0.022714,up
289070,2026-03-19,10h,1425,117,566,61,30,11,0.083254,0.421911,0.924125,0.902711,-0.021413,down
648800,2025-09-29,10h,1310,126,361,27,30,7,0.181025,-0.081633,0.912256,0.930412,0.018156,up
648800,2025-12-18,10h,1305,102,1378,141,30,18,0.759898,1.303922,0.927505,0.907176,-0.02033,down
648800,2026-03-19,10h,1605,134,510,41,30,7,0.361816,0.311301,0.922944,0.92559,0.002646,neutral
284160,2026-02-15,10h,5005,118,1743,28,30,7,0.492507,0.016949,0.976967,0.98419,0.007223,up
284160,2026-03-19,10h,4997,127,1062,23,30,7,-0.089168,-0.223847,0.975215,0.978802,0.003587,neutral
1966720,2025-09-29,10h,1234,46,389,33,30,7,0.351007,2.074534,0.964063,0.921801,-0.042262,down
1966720,2025-10-30,10h,1494,98,201,19,30,4,0.009036,0.454082,0.938442,0.913636,-0.024806,down
1966720,2025-12-18,10h,2293,69,1132,54,30,18,-0.177206,0.304348,0.970787,0.954469,-0.016319,down
1966720,2026-03-19,10h,1326,60,303,15,30,7,-0.020685,0.071429,0.95671,0.95283,-0.00388,neutral
620,2025-12-18,10h,1483,17,1367,12,30,18,0.5363,0.176471,0.988667,0.991298,0.002631,neutral
620,2026-03-19,10h,1204,16,369,4,30,7,0.313479,0.071429,0.986885,0.989276,0.002391,neutral
221100,2025-10-27,10h,2422,290,546,80,30,7,-0.033856,0.182266,0.893068,0.872204,-0.020863,down
221100,2025-12-18,10h,2118,250,1610,178,30,18,0.266918,0.186667,0.894426,0.900447,0.006022,up
221100,2026-02-05,10h,2573,350,1141,139,30,14,-0.049747,-0.14898,0.88026,0.891406,0.011146,up
221100,2026-03-19,10h,2315,285,514,64,30,7,-0.048442,-0.037594,0.890385,0.889273,-0.001111,neutral
367520,2026-03-19,10h,4540,137,974,50,30,7,-0.080554,0.564129,0.970708,0.951172,-0.019536,down
1172620,2025-06-24,10h,1148,219,854,262,30,16,0.394817,1.243151,0.839795,0.765233,-0.074562,down
1172620,2025-08-11,10h,1264,257,285,76,30,7,-0.03368,0.267371,0.831032,0.789474,-0.041559,down
1172620,2025-09-24,10h,820,162,364,64,30,12,0.109756,-0.012346,0.835031,0.850467,0.015437,up
1172620,2025-11-21,10h,684,166,1065,70,30,11,3.246411,0.150055,0.804706,0.938326,0.13362,up
1172620,2025-12-18,10h,1557,196,850,141,30,18,-0.090131,0.19898,0.888192,0.857719,-0.030472,down
